Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Penny  n. (pl. For separate coins -ies, for a sum of money pence) 1 british coin and monetary unit equal to one-hundredth of a pound. 2 hist. British bronze coin and monetary unit equal to one-two-hundred-and-fortieth of a pound.  in for a penny, in for a pound exhortation to total commitment to an undertaking. Pennies from heaven unexpected benefits. The penny drops colloq. One understands at last. Penny wise and pound foolish mean in small expenditures but wasteful of large amounts. A pretty penny a large sum of money. Two a penny easily obtained and so almost worthless. [old english]
Geode  n. 1 cavity lined with crystals. 2 rock containing this. [greek geodes earthy]
Dower  n. 1 widow's share for life of a husband's estate. 2 archaic dowry. [latin dos dowry]
Siege  n. 1 surrounding and blockading of a town, castle, etc. 2 similar operation by police etc. To force an armed person out of a building.  lay siege to conduct the siege of. Raise the siege of abandon, or cause the abandonment of, an attempted siege of. [french sege seat]
Poesy  n. Archaic poetry. [french, ultimately as *poem]
Chomp  v. = *champ1. [imitative]
Glitz  n. Slang showy glamour.  glitzy adj. (-ier, -iest). [from *glitter, *ritzy]
Mooch  v. Colloq. 1 (usu. Foll. By about, around) wander aimlessly around. 2 esp. Us cadge; steal. [probably from french muchier skulk]
Mater  n. Slang mother. [latin]
Filch  v. Pilfer, steal. [origin unknown]
Foyer  n. Entrance-hall in a hotel, theatre, etc. [french, = hearth, home, from latin *focus]
Tempo  n. (pl. -s or -pi) 1 speed at which music is or should be played. 2 speed or pace. [latin tempus -por- time]
Basis  n. (pl. Bases) 1 foundation or support. 2 main principle or ingredient (on a friendly basis). 3 starting-point for a discussion etc. [greek: related to *base1]
Sheep  n. (pl. Same) 1 mammal with a thick woolly coat, esp. Kept for its wool or meat. 2 timid, silly, or easily-led person. 3 (usu. In pl.) Member of a minister's congregation. [old english]
Amuck  var. Of *amok.
Knack  n. 1 acquired faculty or trick of doing a thing. 2 habit (a knack of offending people). [origin unknown]
Indue  var. Of *endue.
Fauna  n. (pl. -s or -nae) animal life of a region or period. [latin fauna, name of a rural goddess]
Mambo  n. (pl. -s) latin american dance like the rumba. [american spanish]
Pyrex  n. Propr. Hard heat-resistant glass, used esp. For ovenware. [invented word]
Whore  n. 1 prostitute. 2 derog. Promiscuous woman. [old english]
Hutch  n. Box or cage for rabbits etc. [french huche]
Ogive  n. 1 pointed arch. 2 diagonal rib of a vault. [french]
Taker  n. Person who takes a bet, accepts an offer, etc.
Cairn  n. 1 mound of stones as a monument or landmark. 2 (in full cairn terrier) small shaggy short-legged terrier. [gaelic]
Swine  n. (pl. Same) 1 formal or us pig. 2 colloq. (pl. Same or -s) a contemptible person. B unpleasant or difficult thing.  swinish adj. [old english]
Lotto  n. Game of chance like bingo, but with numbers drawn by players instead of called. [italian]
Auxin  n. Plant hormone that regulates growth.
Chyme  n. Acid pulp formed from partly-digested food. [greek khumos juice]
Swath  n. (also swathe) (pl. -s) 1 ridge of cut grass or corn etc. 2 space left clear by a mower etc. 3 broad strip. [old english]
Panda  n. 1 (also giant panda) large bearlike black and white mammal native to china and tibet. 2 (also red panda) reddish-brown himalayan racoon-like mammal. [nepali]
Chink  n. Slang offens. A chinese. [abbreviation]
Donut  n. (brit. Doughnut) small fried cake of sweetened dough.
Fibre  n. (us fiber) 1 thread or filament forming tissue or textile. 2 piece of threadlike glass. 3 substance formed of fibres, or able to be spun, woven, etc. 4 structure; character (moral fibre). 5 roughage. [french from latin fibra]
Booth  n. 1 small temporary structure used esp. As a market stall. 2 enclosure for telephoning, voting, etc. 3 cubicle in a restaurant etc. [old norse]
Tarot  n. (often attrib.) 1 (in sing. Or pl.) A pack of mainly picture cards used in fortune-telling. B any game played with a similar pack of 78 cards. 2 any card from a tarot pack. [french]
Argot  n. Jargon of a group or class. [french]
Apsis  n. (pl. Apsides) either of two points on the orbit of a planet etc. Nearest to or furthest from the body round which it moves. [greek (h)apsis arch, vault]
Hussy  n. (pl. -ies) derog. Impudent or promiscuous girl or woman. [contraction of *housewife]
Tummy  n. (pl. -ies) colloq. Stomach. [a childish pronunciation]
Cower  v. Crouch or shrink back in fear or distress. [low german]
Noddy  n. (pl. -ies) 1 simpleton. 2 tropical sea bird. [origin unknown]
Lupin  n. Cultivated plant with long tapering spikes of flowers. [related to *lupine]
Ensue  v. (-sues, -sued, -suing) happen later or as a result. [latin sequor follow]
Tenet  n. Doctrine, principle. [latin, = he holds]
Cecum  n. (brit. Caecum) (pl. -ca) blind-ended pouch at the junction of the small and large intestines. [latin caecus blind]
Tesla  n. Si unit of magnetic induction. [tesla, name of a scientist]
Guano  n. (pl. -s) 1 excrement of sea birds, used as manure. 2 artificial manure, esp. That made from fish. [spanish from quechua]
Allot  v. (-tt-) apportion or distribute to (a person), esp. As a share or task (they were allotted equal sums). [french a to, *lot]
Cleat  n. 1 piece of metal, wood, etc., bolted on for fastening ropes to, or to strengthen woodwork etc. 2 projecting piece on a spar, gangway, etc. To prevent slipping. [old english]
Jeans  n.pl. Casual esp. Denim trousers. [earlier geane fustian, = material from genoa]
Skulk  v. Move stealthily; lurk, hide. [scandinavian]
Idiom  n. 1 phrase etc. Established by usage and not immediately comprehensible from the words used (e.g. Over the moon, see the light). 2 form of expression peculiar to a language etc. 3 language of a people or country. 4 characteristic mode of expression in art etc. [greek idios own]
Strew  v. (past part. Strewn or strewed) 1 scatter or spread about over a surface. 2 (usu. Foll. By with) spread (a surface) with scattered things. [old english: related to *straw]
Ledge  n. Narrow horizontal or shelflike projection. [origin uncertain]
Unpin  v. (-nn-) unfasten or detach by removing or opening a pin or pins.
Mourn  v. (often foll. By for, over) feel or show deep sorrow or regret for (a dead person, a lost thing, a past event, etc.). [old english]
Banns  n.pl. Notice announcing an intended marriage, read out in a parish church. [pl. Of *ban]
Tenon  n. Wooden projection made for insertion into a cavity, esp. A mortise, in another piece. [latin: related to *tenor]
Cabby  n. (also cabbie) (pl. -ies) colloq. Taxi-driver.
Basin  n. 1 round open vessel for holding liquids or preparing food in. 2 = *wash-basin. 3 hollow depression. 4 sheltered mooring area. 5 round valley. 6 area drained by a river.  basinful n. (pl. -s). [medieval latin ba(s)cinus]
Vixen  n. 1 female fox. 2 spiteful woman. [old english: related to *fox]
Media  n.pl. 1 pl. Of *medium. 2 (usu. Prec. By the) mass communications (esp. Newspapers and broadcasting) regarded collectively.
Tuber  n. 1 thick rounded part of a stem or rhizome, usu. Found underground and covered with modified buds, e.g. In a potato. 2 similar root of a dahlia etc. [latin, = hump, swelling]
Knurl  n. Small projecting knob, ridge, etc. [low german or dutch]
Harry  v. (-ies, -ied) 1 ravage or despoil. 2 harass. [old english]
Argue  v. (-ues, -ued, -uing) 1 (often foll. By with, about, etc.) Exchange views forcefully or contentiously. 2 (often foll. By that) maintain by reasoning; indicate. 3 (foll.
Umbra  n. (pl. -s or -brae) total shadow, esp. That cast on the earth by the moon during a solar eclipse. [latin, = shadow]
Phony  var. Of *phoney.
Ditto  n. (pl. -s) 1 (in accounts, inventories, etc.) The aforesaid, the same. 2 colloq. (used to avoid repetition) the same (came late today and ditto yesterday). [latin *dictum]
Groin  n. (brit. Groyne) timber, stone, or concrete wall built at right angles to the coast to check beach erosion. [dial. Groin snout, from french]
Ruble  var. Of *rouble.
Vista  n. 1 long narrow view as between rows of trees. 2 mental view of a long series of events. [italian]
Saber  n. (brit. Sabre) 1 curved cavalry sword. 2 light tapering fencing-sword. [french from german sabel]
Brent  n. (in full brent-goose) small migratory goose. [origin unknown]
Houri  n. (pl. -s) beautiful young woman of the muslim paradise. [persian from arabic, = dark-eyed]
Toque  n. Woman's small brimless hat. [french]
Mucus  n. Slimy substance secreted by a mucous membrane. [latin]
Robot  n. 1 machine resembling or functioning like a human. 2 machine automatically completing a mechanical process. 3 person who acts mechanically.  robotic adj. Robotize v. (also -ise) (-zing or -sing). [czech]
Mccoy  n.  the real mccoy colloq. The real thing; the genuine article. [origin uncertain]
Grief  n. 1 intense sorrow. 2 cause of this.  come to grief meet with disaster. [french: related to *grieve]
Oakum  n. Loose fibre obtained by picking old rope to pieces and used esp. In caulking. [old english, = off-comb]
Satyr  n. 1 (in greek and roman mythology) woodland god with some horselike or goatlike features. 2 lecherous man. [greek saturos]
Agate  n. Hard usu. Streaked chalcedony. [greek akhates]
Paten  n. Shallow dish for bread at the eucharist. [latin patina]
Trait  n. Characteristic. [latin tractus: related to *tract1]
Chunk  n. 1 thick piece cut or broken off. 2 substantial amount. [var. Of *chuck2]
Imply  v. (-ies, -ied) 1 (often foll. By that) strongly suggest or insinuate without directly stating (what are you implying?). 2 signify, esp. As a consequence (silence implies guilt). [latin: related to *implicate]
Cañon  var. Of *canyon.
Maple  n. 1 any of various trees or shrubs grown for shade, ornament, wood, or sugar. 2 its wood. [old english]
Prong  n. Each of two or more projecting pointed parts at the end of a fork etc. [origin unknown]
Angle  n. (usu. In pl.) Member of a n. German tribe that settled in e. Britain in the 5th c. [latin anglus, from the name angul in germany]
Halon  n. Any of various gaseous compounds of carbon, bromine, and other halogens, used to extinguish fires. [related to *halogen]
Fairy  n. (pl. -ies) 1 (often attrib.) Small winged legendary being. 2 slang offens. Male homosexual. [french: related to *fay, *-ery]
Scurf  n. Dandruff.  scurfy adj. [old english]
Stria  n. (pl. Striae) slight ridge or furrow. [latin]
Snail  n. Slow-moving gastropod mollusc with a spiral shell. [old english]
Étude  n. = *study n. 6. [french, = study]
Widen  v. Make or become wider.
Dumps  n.pl. (usu. In down in the dumps) colloq. Low spirits. [low german or dutch: related to *damp]
Unbar  v. (-rr-) 1 unlock, open. 2 remove a bar from (a gate etc.).
Moose  n. (pl. Same) n. American deer; elk. [narragansett]
Craps  n.pl. Us (also crap game) gambling dice game. [origin uncertain]
Yucca  n. Subtropical white-flowered plant with swordlike leaves, often grown as a house-plant. [carib]
Argus  n. Watchful guardian. [greek argos mythical giant with 100 eyes]
Union  n. 1 uniting or being united. 2 a whole formed from parts or members. B political unit so formed. 3 = *trade union. 4 marriage. 5 concord (perfect union). 6 (union) a university social club and (at oxbridge) debating society. B buildings of this. 7 math. Totality of the members of two or more sets. 8  mixed fabric, e.g. Cotton with linen or silk. [latin unus one]
Biddy  n. (pl. -ies) slang woman (esp. Old biddy). [a form of the name bridget]
Wally  n. (pl. -ies) slang foolish or inept person. [origin uncertain]
Curia  n. (also curia) papal court; government departments of the vatican. [latin]
Usurp  v. Seize (a throne or power etc.) Wrongfully.  usurpation n. Usurper n. [french from latin]
Duvet  n. Thick soft quilt used instead of sheets and blankets. [french]
Expel  v. (-ll-) (often foll. By from) 1 deprive (a person) of membership etc. Of a school, society, etc. 2 force out, eject. 3 order or force to leave a building etc. [latin pello puls- drive]
Hades  n. (in greek mythology) the underworld. [greek, originally a name of pluto]
Peace  n. 1 a quiet; tranquillity. B mental calm; serenity. 2 a (often attrib.) Freedom from or the cessation of war (peace talks). B (esp. Peace) treaty of peace between states etc. At war. 3 freedom from civil disorder.  at peace 1 in a state of friendliness. 2 serene. 3 euphem. Dead. Hold one's peace keep silent. Keep the peace prevent, or refrain from, strife. Make one's peace (often foll. By with) re-establish friendly relations. Make peace agree to end a war or quarrel. [latin pax pac-]
Douse  v. (also dowse) (-sing) 1 a throw water over. B plunge into water. 2 extinguish (a light). [origin uncertain]
G-man  n. Us colloq. Federal criminal-investigation officer. [from government]
Welch  var. Of *welsh.
Rotor  n. 1 rotary part of a machine. 2 rotary aerofoil on a helicopter, providing lift. [related to *rotate]
Henry  n. (pl. -s or -ies) electr. Si unit of inductance. [henry, name of a physicist]
Combe  var. Of *coomb.
Waken  v. Make or become awake. [old norse]
Tunic  n. 1 close-fitting short coat of police or military etc. Uniform. 2 loose often sleeveless garment reaching to the knees. [latin]
Lovat  n. & adj. Muted green. [lovat in scotland]
Chubb  n. (in full chubb lock) propr. Lock with a device for fixing the bolt immovably should someone try to pick it. [chubb, name of a locksmith]
Hallo  var. Of *hello.
Hovel  n. Small miserable dwelling. [origin unknown]
Repro  n. (pl. -s) (often attrib.) Colloq. Reproduction or copy. [abbreviation]
Edema  n. (brit. Oedema) accumulation of excess fluid in body tissues, causing swelling. [greek oideo swell]
Miser  n. 1 person who hoards wealth and lives miserably. 2 avaricious person.  miserly adj. [latin, = wretched]
Muzak  n. 1 propr. System of piped music used in public places. 2 (muzak) recorded light background music. [fanciful var. Of *music]
Yonks  n.pl. Slang a long time (yonks ago). [origin unknown]
Virus  n. 1 microscopic organism often causing diseases. 2  = *computer virus. [latin, = poison]
Daddy  n. (pl. -ies) colloq. Father. [from *dad]
Thing  n. 1 entity, idea, action, etc., that exists or may be thought about or perceived. 2 inanimate material object (take that thing away). 3 unspecified item (a few things to buy). 4 act, idea, or utterance (silly thing to do). 5 event (unfortunate thing to happen). 6 quality (patience is a useful thing). 7 person regarded with pity, contempt, or affection (poor thing!). 8 specimen or type (latest thing in hats). 9 colloq. One's special interest (not my thing). 10 colloq. Something remarkable (there's a thing!). 11 (prec. By the) colloq. A what is proper or fashionable. B what is needed (just the thing). C what is to be considered (the thing is, shall we go or not?). D what is important. 12 (in pl.) Personal belongings or clothing (where are my things?). 13 (in pl.) Equipment (painting things). 14 (in pl.) Affairs in general (not in the nature of things). 15 (in pl.) Circumstances, conditions (things look good). 16 (in pl. With a following adjective) all that is so describable (things greek).  do one's own thing colloq. Pursue one's own interests or inclinations. Have a thing about colloq. Be obsessed or prejudiced about. Make a thing of colloq. 1 regard as essential. 2 cause a fuss about. [old english]
Gusto  n. Zest; enjoyment. [latin gustus taste]
Fanny  n. (pl. -ies) 1 coarse slang the female genitals. 2 us slang the buttocks. [origin unknown]
Miler  n. Colloq. Person or horse specializing in races of one mile.
Align  v. 1 put or bring into line. 2 (usu. Foll. By with) ally (oneself etc.) With (a cause, party, etc.).  alignment n. [french à ligne into line]
Donna  n. Title of an italian, spanish, or portuguese lady. [latin domina mistress]
Curie  n. Unit of radioactivity. [p. Curie, name of a scientist]
Educe  v. (-cing) literary bring out or develop from latency.  eduction n. [latin educo -ere draw out]
Ketch  n. Small two-masted sailing-boat. [probably from *catch]
Gypsy  n. (also gipsy) (pl. -ies) member of a nomadic people of europe and n. America, of hindu origin with dark skin and hair. [from *egyptian]
Endow  v. 1 bequeath or give a permanent income to (a person, institution, etc.). 2 (esp. As endowed adj.) Provide with talent, ability, etc. [anglo-french: related to *dower]
Bower  n. 1 arbour; summer-house. 2 poet. Inner room. [old english, = dwelling]
Décor  n. Furnishing and decoration of a room, stage set, etc. [french: related to *decorate]
Adorn  v. Add beauty to; decorate.  adornment n. [latin: related to *ad-, orno decorate]
Yo-yo  n. (pl. Yo-yos) 1 toy consisting of a pair of discs with a deep groove between them in which string is attached and wound, and which can be made to fall and rise. 2 thing that repeatedly falls and rises. [origin unknown]
Sirup  n. (brit. Syrup) 1 a sweet sauce of sugar dissolved in boiling water. B similar fluid as a drink, medicine, etc. 2 condensed sugar-cane juice; molasses, treacle. 3 excessive sweetness of manner or style.  syrupy adj. [arabic sharab]
Radon  n. Gaseous radioactive inert element arising from the disintegration of radium.
Verso  n. (pl. -s) 1 left-hand page of an open book. 2 back of a printed leaf. [latin verso (folio) on the turned (leaf)]
Señor  n. (pl. Señores) title used of or to a spanish-speaking man. [spanish from latin senior *senior]
Nonce  n.  for the nonce for the time being; for the present occasion. [from for than anes = for the one]
Fosse  n. Long ditch or trench, esp. In a fortification. [latin fossa]
Bliss  n. 1 perfect joy. 2 being in heaven.  blissful adj. Blissfully adv. [old english]
Prism  n. 1 solid figure whose two ends are equal parallel rectilinear figures, and whose sides are parallelograms. 2 transparent body in this form, usu. Triangular with refracting surfaces at an acute angle with each other, which separates white light into a spectrum of colours. [greek prisma -mat- thing sawn]
Mores  n.pl. Customs or conventions of a community. [latin, pl. Of mos custom]
Depth  n. 1 a deepness. B measurement from the top down, from the surface inwards, or from front to back. 2 difficulty; abstruseness. 3 a wisdom. B intensity of emotion etc. 4 intensity of colour, darkness, etc. 5 (usu. In pl.) A deep water or place; abyss. B low, depressed state. C lowest, central, or inmost part (depths of the country; depth of winter).  in depth thoroughly. Out of one's depth 1 in water over one's head. 2 engaged in a task etc. Too difficult for one. [related to *deep]
Altar  n. 1 table or flat block for sacrifice or offering to a deity. 2 communion table. [latin altus high]
Atoll  n. Ring-shaped coral reef enclosing a lagoon. [maldive]
Copra  n. Dried coconut-kernels. [portuguese from malayalam]
Piper  n. Person who plays a pipe, esp. The bagpipes.
World  n. 1 a the earth, or a planetary body like it. B its countries and people. 2 the universe, all that exists. 3 a the time, state, or scene of human existence. B (prec. By the, this) mortal life. 4 secular interests and affairs. 5 human affairs; active life. 6 average, respectable, or fashionable people or their customs or opinions. 7 all that concerns or all who belong to a specified class or sphere of activity (the world of sport). 8 (foll. By of) vast amount. 9 (attrib.) Affecting many nations, of all nations (world politics; world champion).  bring (or come) into the world give birth (or be born). For all the world (foll. By like, as if) precisely. In the world of all; at all (what in the world is it?). Man (or woman) of the world person experienced and practical in human affairs. Out of this world colloq. Extremely good etc. Think the world of have a very high regard for. [old english]
Slime  n. Thick slippery mud or sticky substance produced by an animal or plant. [old english]
Dacha  n. Russian country cottage. [russian]
Motet  n. Mus. Short religious choral work. [french: related to *mot]
Evoke  v. (-king) inspire or draw forth (memories, a response, etc.).  evocation n. [latin voco call]
Tizzy  n. (pl. -ies) colloq. State of agitation (in a tizzy). [origin unknown]
Jumbo  n. (pl. -s) colloq. 1 (often attrib.) Large animal (esp. An elephant), person, or thing (jumbo packet). 2 (in full jumbo jet) large airliner for several hundred passengers. [probably from *mumbo-jumbo]
Syrup  n. (us sirup) 1 a sweet sauce of sugar dissolved in boiling water. B similar fluid as a drink, medicine, etc. 2 condensed sugar-cane juice; molasses, treacle. 3 excessive sweetness of manner or style.  syrupy adj. [arabic sharab]
Unban  v. (-nn-) remove prohibited status from; allow.
Offal  n. 1 less valuable edible parts of a carcass, esp. The heart, liver, etc. 2 refuse, scraps. [dutch afval: related to *off, *fall]
Salsa  n. A kind of dance music of cuban origin, with jazz and rock elements. [spanish: related to *sauce]
Madam  n. 1 polite or respectful form of address or mode of reference to a woman. 2 colloq. Conceited or precocious girl or young woman. 3 woman brothel-keeper. [related to *madame]
Pussy  n. (pl. -ies) 1 (also pussy-cat) colloq. Cat. 2 coarse slang vulva.
Comet  n. Hazy object moving in a path about the sun, usu. With a nucleus of ice surrounded by gas and with a tail pointing away from the sun. [greek kometes]
Lolly  n. (pl. -ies) 1 colloq. Lollipop. 2 = *ice lolly. 3 slang money. [abbreviation]
Fiber  n. (brit. Fibre) 1 thread or filament forming tissue or textile. 2 piece of threadlike glass. 3 substance formed of fibres, or able to be spun, woven, etc. 4 structure; character (moral fibre). 5 roughage. [french from latin fibra]
Viper  n. 1 small venomous snake. 2 malignant or treacherous person. [latin]
Crème  n. 1 = *cream n. 4. 2 liqueur (crème de cassis). [french, = cream]
Skein  n. 1 loosely-coiled bundle of yarn or thread. 2 flock of wild geese etc. In flight. [french escaigne]
Eyrie  n. 1 nest of a bird of prey, esp. An eagle, built high up. 2 house etc. Perched high up. [french aire lair, from latin agrum piece of ground]
Synth  n. Colloq. = *synthesizer.
Aorta  n. (pl. -s) main artery, giving rise to the arterial network carrying oxygenated blood to the body from the heart.  aortic adj. [greek aeiro raise]
Mizen  n. (also mizzen) (in full mizen-sail) lowest fore-and-aft sail of a fully rigged ship's mizen-mast. [italian: related to *mezzanine]
Doyen  n. (fem. Doyenne) senior member of a group. [french: related to *dean1]
Henge  n. Prehistoric monument consisting of a circle of stone or wood uprights. [stonehenge in s. England]
Fable  n. 1 a fictional, esp. Supernatural, story. B moral tale, esp. With animals as characters. 2 legendary tales collectively (in fable). 3 a lie. B thing only supposed to exist. [latin fabula discourse]
Cargo  n. (pl. -es or -s) goods carried on a ship or aircraft. [spanish: related to *charge]
Drool  v. 1 slobber, dribble. 2 (often foll. By over) admire extravagantly. [from *drivel]
Dumbo  n. (pl. -s) slang stupid person. [from *dumb, *-o]
Henry  n. (pl. -s or -ies) electr. Si unit of inductance. [henry, name of a physicist]
Poult  n. Young domestic fowl, turkey, pheasant, etc. [contraction of *pullet]
Sylph  n. 1 elemental spirit of the air. 2 slender graceful woman or girl.  sylphlike adj. [latin]
Frump  n. Dowdy unattractive woman.  frumpish adj. Frumpy adj. (-ier, -iest). [perhaps dial. Frumple wrinkle]
Alley  n. (pl. -s) 1 narrow street or passageway. 2 enclosure for skittles, bowling, etc. 3 walk or lane in a park etc. [french aller go]
Scoot  v. (esp. In imper.) Colloq. Depart quickly, flee. [origin unknown]
Polyp  n. 1 simple organism with a tube-shaped body. 2 small usu. Benign growth on a mucous membrane. [greek pous foot]
Amuse  v. (-sing) 1 cause to laugh or smile. 2 interest or occupy.  amusing adj. [french a cause to, muser stare]
Helot  n. Serf, esp. (helot) of a class in ancient sparta. [latin from greek]
Arrow  n. 1 pointed slender missile shot from a bow. 2 representation of this, esp. Indicating direction. [old english]
Atone  v. (-ning) (usu. Foll. By for) make amends (for a wrong). [from *atonement]
Sedan  n. 1 (in full sedan chair) hist. Enclosed chair for one, carried on poles by two men. 2 us enclosed car with four or more seats. [origin uncertain]
Lycra  n. Propr. Elastic polyurethane fabric used esp. For sportswear.
Skull  n. 1 bony case of the brain of a vertebrate. 2 bony skeleton of the head. 3 head as the seat of intelligence. [origin unknown]
Ocher  n. (brit. Ochre) 1 earth used as yellow, brown, or red pigment. 2 pale brownish-yellow colour.  ochreous adj. [greek okhra]
Haulm  n. (also halm) 1 stalk or stem. 2 stalks or stems of peas, beans, etc., collectively. [old english]
Bimbo  n. (pl. -s or -es) slang usu. Derog. Attractive but unintelligent young woman. [italian, = little child]
Lymph  n. 1 colourless fluid from the tissues of the body, containing white blood cells. 2 this fluid used as a vaccine. [latin lympha]
Chide  v. (past chided or chid; past part. Chided or chidden) archaic scold, rebuke. [old english]
Shaft  n. 1 narrow usu. Vertical space, for access to a mine, or (in a building) for a lift, ventilation, etc. 2 (foll. By of) a ray (of light). B bolt (of lightning). 3 stem or handle of a tool etc. 4 long narrow part supporting, connecting, or driving thicker part(s) etc. 5 a archaic arrow, spear. B its long slender stem. 6 hurtful or provocative remark (shafts of wit). 7 each of the pair of poles between which a horse is harnessed to a vehicle. 8 central stem of a feather. 9 column, esp. Between the base and capital. [old english]
Nomad  n. 1 member of a tribe roaming from place to place for pasture. 2 wanderer.  nomadic adj. [greek nomas nomad- from nemo to pasture]
Ranee  n. (also rani) (pl. -s) hist. Raja's wife or widow. [hindi]
Barré  n. Method of playing a chord on the guitar etc. With a finger laid across the strings at a particular fret. [french barrer bar]
Abort  v. 1 miscarry. 2 a effect abortion of (a foetus). B effect abortion in (a mother). 3 end or cause (a project etc.) To end before completion. [latin orior be born]
Wrath  n. Literary extreme anger. [old english: related to *wroth]
Sarge  n. Slang sergeant. [abbreviation]
Kraut  n. Slang offens. German. [shortening of *sauerkraut]
Ester  n. Chem. A compound produced by replacing the hydrogen of an acid by an organic radical. [german]
Whelk  n. Marine mollusc with a spiral shell. [old english]
Sabre  n. (us saber) 1 curved cavalry sword. 2 light tapering fencing-sword. [french from german sabel]
Stilt  n. 1 either of a pair of poles with foot supports for walking at a distance above the ground. 2 each of a set of piles or posts supporting a building etc. [low german or dutch]
Churl  n. 1 ill-bred person. 2 archaic peasant. [old english, = man]
Psalm  n. 1 (also psalm) sacred song, esp. From the book of psalms, esp. Metrically chanted in a service. 2 (the psalms or the book of psalms) old testament book containing the psalms. [latin psalmus from greek]
Ovary  n. (pl. -ies) 1 each of the female reproductive organs in which ova are produced. 2 hollow base of the carpel of a flower.  ovarian adj.
Bride  n. Woman on her wedding day and during the period just before and after it. [old english]
Calve  v. (-ving) give birth to a calf. [old english: related to *calf1]
Unify  v. (-ies, -ied) make or become united or uniform. [latin: related to *uni-]
Canna  n. Tropical plant with bright flowers and ornamental leaves. [latin: related to *cane]
Dinar  n. Chief monetary unit of yugoslavia and several countries of the middle east and n. Africa. [arabic and persian from latin *denarius]
Waist  n. 1 a part of the human body below the ribs and above the hips; narrower middle part of the normal human figure. B circumference of this. 2 narrow middle of a violin, wasp, etc. 3 a part of a garment encircling the waist. B us blouse, bodice. 4 part of a ship between the forecastle and the quarterdeck.  waisted adj. (also in comb.). [old english: related to *wax2]
Infix  v. Fasten or fix in.
Sprat  n. Small edible marine fish. [old english]
Perry  n. (pl. -ies) drink made from fermented pear juice. [french peré: related to *pear]
Darky  n. (also darkie) (pl. -ies) slang offens. Black person.
Tepee  n. (also teepee) n. American indian's conical tent. [dakota]
Wench  n. Joc. Girl or young woman. [abbreviation of wenchel, from old english, = child]
Pinny  n. (pl. -ies) colloq. Pinafore. [abbreviation]
Lipid  n. Any of a group of fatlike substances that are insoluble in water but soluble in organic solvents, including fatty acids, oils, waxes, and steroids. [greek lipos fat]
Crake  n. Bird of the rail family, esp. The corncrake. [old norse, imitative of cry]
Quoin  n. 1 external angle of a building. 2 cornerstone. 3 wedge used in printing and gunnery. [var. Of *coin]
Elide  v. (-ding) omit (a vowel or syllable) in pronunciation. [latin elido elis- crush out]
Hindi  n. 1 group of spoken dialects of n. India. 2 literary form of hindustani, an official language of india. [urdu hind india]
Gouda  n. Flat round usu. Dutch cheese. [gouda in holland]
Dryly  var. Of *drily.
Caulk  v. (also calk) 1 stop up (the seams of a boat etc.). 2 make (esp. A boat) watertight. [latin calco tread]
Maize  n. 1 cereal plant of n. America. 2 cobs or grain of this. [french or spanish]
Turbo  n. (pl. -s) = *turbocharger.
Blues  n.pl. 1 (prec. By the) bout of depression. 2 a (prec. By the; often treated as sing.) Melancholic music of black american origin, usu. In a twelve-bar sequence. B (pl. Same) (as sing.) Piece of such music (played a blues).
Bunny  n. (pl. -ies) 1 child's name for a rabbit. 2 (in full bunny girl) club hostess, waitress, etc., wearing rabbit ears and tail. [dial. Bun rabbit]
Dekko  n. (pl. -s) slang look, glance. [hindi]
Axiom  n. 1 established or accepted principle. 2 self-evident truth.  axiomatic adj. [greek axios worthy]
Suede  n. (often attrib.) 1 leather with the flesh side rubbed to a nap. 2 cloth imitating it. [french, = sweden]
Teens  n.pl. Years of one's age from 13 to 19 (in his teens).
Shrew  n. 1 small mouselike long-nosed mammal. 2 bad-tempered or scolding woman.  shrewish adj. (in sense 2). [old english]
Rummy  n. Card-game played usu. With two packs. [origin unknown]
Glean  v. 1 acquire (facts etc.) In small amounts. 2 gather (corn left by reapers). [french]
Seize  v. (-zing) 1 (often foll. By on, upon) take hold of forcibly or suddenly. 2  take possession of forcibly or by legal power. 3 affect suddenly (panic seized us). 4 (often foll. By on, upon) take advantage of (an opportunity etc.). 5 (often foll. By on, upon) comprehend quickly or clearly. 6 (also seise) (usu. Foll. By of) law put in possession of.  seized (or seised) of 1 possessing legally. 2 aware or informed of. Seize up 1 (of a mechanism) become jammed. 2 (of part of the body etc.) Become stiff. [french saisir]
Firth  n. (also frith) 1 narrow inlet of sea. 2 estuary. [old norse: related to *fiord]
Manse  n. Ecclesiastical residence, esp. A scottish presbyterian minister's house. [medieval latin: related to *manor]
Spume  n. & v. (-ming) froth, foam.  spumy adj. (-ier, -iest). [latin spuma]
Spore  n. Reproductive cell of many plants and micro-organisms. [greek spora seed]
Squad  n. 1 small group sharing a task etc., esp. Of soldiers or policemen (drug squad). 2 sport team. [french escouade]
Cabin  n. 1 small shelter or house, esp. Of wood. 2 room or compartment in an aircraft or ship for passengers or crew. 3 driver's cab. [french from latin]
Doily  n. (also doyley) (pl. -ies or -eys) small lacey usu. Paper mat used on a plate for cakes etc. [doiley, name of a draper]
Bowie  n. (in full bowie knife) a kind of long hunting-knife. [bowie, name of an american soldier]
Scone  n. Small cake of flour, fat, and milk, baked quickly. [origin uncertain]
Scamp  n. Colloq. Rascal; rogue. [probably dutch]
